Code,Description,Weight kg
AA0001,TRAX AU Castor c/w tube stem,18
AA0002,TRAX AU Castor body only,15
AA0003,TRAX AU Tube Stem top plate,3.9
AA0004,TRAX AU Castor BA top plate,3.4
AA0005,TRAX AU Castor top plate c/w 3 half couplers,3.4
AA0006,TRAX AU Castor HB top plate,3.02
AA0007,Beam support upright,11.28
AA0008,Beam support spur inner,3.06
AA0009,Beam support spur outer,3.95
AA0010,TRAX AU Castor with rosette for APA standard,5.2
AF0001,Spring pin M12x60 for round tube,0.07
AF0002,Spring pin M12x70 for ridge track,0.1
AF0039,Linch pin M6,0.01
AF0040,Linch pin M8,0.01
AF0041,Locking pin tapered 103x20mm,0.23
AF0042,Locking pin tapered 123x30mm,0.62
AR0001,Ratchet straps 460kg SWL x 2m,0.48
AR0002,Ratchet straps 1000kg SWL x 2m,0.52
AR0003,Sheet pulling strap 30m,5.4
AT0001,TRAX tube holder,1.3
BA0001,D78 aluminium beam with support 1m,9.75
BA0006,D78 ridge 6 degrees,8.1
BA0012,D78 ridge 12 degrees,7.4
BA0018,D78 ridge 18 degrees,7.45
BA0036,D78 ridge 36 degrees,12
BA0118,D78 eaves beam 0.78x18degrees,5.61
BA0218,D78 aluminium eaves beam with support 1m,9.63
BA0318,D78 aluminium eaves beam with support 2m,18.72
BA0500,D78 aluminium beam 0.5m,4.3
BA1000,D78 aluminium beam 1.0m,6.34
BA2000,D78 aluminium beam 2.0m,11.63
BA3000,D78 aluminium beam 3.0m,16.92
BA4000,D78 aluminium beam 4.0m,22.21
BA5000,D78 aluminium beam 5.0m,27.5
BA6000,D78 aluminium beam 6.0m,32.79
BC0018,ASTERIX ridge 18 degrees,16.23
BC0036,ASTERIX ridge 36 degrees,15.87
BC0118,ASTERIX eaves 18 degrees,7.64
BC0600,ASTERIX aluminium beam 0.75x0.6m,4.84
BC1000,ASTERIX aluminium beam 0.75x1m,8
BC2000,ASTERIX aluminium beam 0.75x2m,14.25
BC3000,ASTERIX aluminium beam 0.75x3m,20.49
BC4000,ASTERIX aluminium beam 0.75x4m,26.74
BC5000,ASTERIX aluminium beam 0.75x5m,32.99
BC6000,ASTERIX aluminium beam 0.75x6m,39.23
BD0006,ASTERIX HD ridge 6 degreesx1.33m,24.33
BD0012,ASTERIX HD ridge 12 degreesx1.33m,25.46
BD0018,ASTERIX HD ridge 18 degreesx1.33m,24.99
BD0036,ASTERIX HD ridge 36 degreesx1.33m,26.2
BD0118,ASTERIX HD eaves 18 degreesx1.33m,13.25
BD0550,ASTERIX HD aluminium beam 1.33x0.55m,6.33
BD1000,ASTERIX HD aluminium beam 1.33x1m,13.33
BD2000,ASTERIX HD aluminium beam 1.33x2m,22.6
BD3000,ASTERIX HD aluminium beam 1.33x3m,31.87
BD4000,ASTERIX HD aluminium beam 1.33x4m,41.13
BQ0001,sysTRAX End Piece,4.2
BQ0390,sysTRAX 0.39m,8.59
BQ0400,sysTRAX 0.40m,8.8
BQ0500,sysTRAX 0.50m,10.92
BQ0700,sysTRAX 0.70m,15.16
BQ0732,sysTRAX 0.73m,15.84
BQ1000,sysTRAX 1.00m,21.52
BQ1065,sysTRAX 1.065m,22.89
BQ1072,sysTRAX 1.07m,23.04
BQ1088,sysTRAX 1.09m,23.38
BQ1500,sysTRAX 1.50m,32.11
BQ1572,sysTRAX 1.57m,33.64
BQ2000,sysTRAX 2.00m,42.71
BQ2072,sysTRAX 2.07m,44.23
BQ2500,sysTRAX 2.50m,53.3
BQ2572,sysTRAX 2.57m,54.83
BQ3000,sysTRAX 3.00m,63.9
BQ3072,sysTRAX 3.07m,65.43
BR0011,TRAX UB end closer,2.6
BR0012,TRAX UB jointing plate,0.5
BR1000,TRAX UB 1m,20
BR2000,TRAX UB 2m,40
BR3000,TRAX UB 3m,60
BS0001,Beam spigot D78 6HS,1.49
BS0002,Beam spigot D78 6HA,0.8
BS0003,Beam spigot 78 4HS,1.5
BS0004,Beam spigot 78 4HA,0.85
BS0005,Beam spigot ASTX 6HS,0.72
BS0006,ASTERIX HD Beam spigot 8HS,1.44
BS0013,Beam spigot ASTX 6HA,0.55
BS0014,Beam spigot ASTX HD 8HA,0.85
CA0001,Gable sheet 610gsm,0.61
CA0002,Additional sheet pocket 2.07m,0.44
CA0005,Additional sheet pocket 2.57m,0.55
CA0006,Additional sheet pocket 3.07m,0.66
CA0110,Roof sheet white 610gsmx8mm 10.00x2.07m,10.2
CA0115,Roof sheet white 610gsmx8mm 15.00x2.07m,15.3
CA0120,Roof sheet white 610gsmx8mm 20.00x2.07m,20.4
CA0125,Roof sheet white 610gsmx8mm 25.00x2.07m,25.5
CA0130,Roof sheet white 610gsmx8mm 30.00x2.07m,30.7
CA0135,Roof sheet white 610gsmx8mm 35.00x2.07m,35.8
CA0140,Roof sheet white 610gsmx8mm 40.00x2.07m,40.9
CA0145,Roof sheet white 610gsmx8mm 45.00x2.07m,46
CA0210,Roof sheet white 610gsmx8mm 10.00x2.57m,13.5
CA0215,Roof sheet white 610gsmx8mm 15.00x2.57m,20.2
CA0220,Roof sheet white 610gsmx8mm 20.00x2.57m,26.9
CA0225,Roof sheet white 610gsmx8mm 25.00x2.57m,33.7
